대분류,관광지 이름,행정구역,지역,주소,해시 태그,소개,경도,위도,전화번호,예약 링크
관광지,제주불교성지 순례길 절로가는길 - 선정의 길,서귀포시,서귀포시내,제주특별자치도 서귀포시 516로771번길 59,"걷기/등산,흐림,봄,가을,문화관광,도보여행,도보,어트랙션",어리석음에서 벗어난 지혜의 길,33.319935,126.59309,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/a40f8602-2f44-4162-82cb-e794fe88a36f.jpg
관광지,서프서프,제주시,구좌,제주특별자치도 제주시 구좌읍 해맞이해안로 468,"구좌읍, 월정리, 서핑, 이색체험",입문자에게 딱 맞는 월정 서핑체험,33.5553336,126.7966229,0507-1366-3987,https://api.cdn.visitjeju.net/photomng/imgpath/202306/19/c539f1dd-755f-46cc-aaa3-edcf84775884.jpg
관광지,부대악오름,제주시,조천,제주특별자치도 제주시 조천읍 선흘리 산 103,"오름,걷기/등산,자연경관,도보여행,도보",일제시대 때 일본군 부대가 주둔했다 하여 붙여진 부대악,33.46732272,126.7014494,null,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/0cd143ec-71e7-45bc-b367-052f8b6be5d2.jpg
관광지,일레븐프리다이빙 제주센터,서귀포시,서귀포시내,제주특별자치도 서귀포시 색달로 8,"서귀포, 색달동, 프리다이빙, 이색체험",바다를 유영하는 색다른 다이빙 체험,33.259137,126.4049584,0507-1308-6353,https://api.cdn.visitjeju.net/photomng/imgpath/202306/19/142d42c8-9914-4158-ae7c-824cf8d2dab7.jpg
관광지,소수산봉(족은물뫼),서귀포시,성산,제주특별자치도 서귀포시 성산읍 고성리 887,"오름,부모,커플,혼자,친구,아이,자연경관,어린이",아름다운 일출봉과 광치기 해안을 볼 수 있는 곳,33.43848759,126.9018207,null,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/723f4cb4-fc35-4143-a188-dc1ea2b75aaa.jpg
관광지,신산환해장성,서귀포시,성산,제주특별자치도 서귀포시 성산읍 신산리,"문화유적지,흐림,자연경관,문화관광,역사유적",자연으로 빚은 성벽,33.38476,126.86652,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/50b74127-5ff5-4df2-9579-2cb85952184d.jpg
관광지,성읍승마장,서귀포시,표선,제주특별자치도 서귀포시 표선면 번영로 2650,"승마,액티비티,체험,레저/체험,어트랙션",30년 전통 도내 최대 길이의 제주 최초 승마장,33.398746,126.78733,064-787-5324,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/69a0bd54-97fa-49b5-b59e-5986b8e48ecf.jpg
관광지,청수성결교회,제주시,한경,제주특별자치도 제주시 한경면 대한로 1067,"휴식/힐링,교회,실내관광지,문화관광,어트랙션",청수리마을 저청삼거리에 있는 마을 교회 \n,33.3251954,126.2558439,064-773-0705,https://api.cdn.visitjeju.net/photomng/imgpath/201812/21/e2627d53-0921-44f1-8a21-412e79dfe3f9.JPG
관광지,마라도기원정사,섬 속의 섬,마라도,제주특별자치도 서귀포시 대정읍 마라로 87,"문화유적지,문화관광,역사유적,어트랙션",우리나라 국토 최남단 마라도에 위치한 대한불교 조계종 사찰,33.115997,126.26655,064-792-8518,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/3329dde9-717a-4abf-8276-fa37461df58c.jpg
관광지,제주친구,서귀포시,서귀포시내,제주특별자치도 서귀포시 동홍로 149,"커플,친구,체험관광,체험,어트랙션,관광지",서귀포 시내 킥보드 및 전기자전거 대여,null,null,064-9000-7000,https://api.cdn.visitjeju.net/photomng/imgpath/202104/07/4b7dbb4a-f898-4672-9df4-f5d4cfed2d88.jpg
관광지,동알오름,서귀포시,대정,제주특별자치도 서귀포시 대정읍 상모리 153,"일몰,오름,걷기/등산,자연경관,도보여행,도보",한 폭의 그림과같은 경치를 간직한 동알오름,33.207508,126.28816,null,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/5a9fb3de-c52e-453c-b85e-37cacd348016.jpg
관광지,올레바당체험마을,제주시,한림,제주특별자치도 제주시 한림읍 한림해안로 267-6,"한림, 테우낚시, 이색체험",어린이도 쉽게 즐기는 바다낚시 체험장,33.4254747,126.2642096,064-796-7222,https://api.cdn.visitjeju.net/photomng/imgpath/202306/19/3346a943-f2df-4b2b-b425-a52aeeb6992c.jpg
관광지,이음새 농장,서귀포시,남원,제주특별자치도 서귀포시 남원읍 위미리 4137-1,"체험,염색체험,힐링,어트랙션","쪽빛 하늘 아래 감귤밭에 직접 만든 쪽빛 손수건을 널었다. 내 친구는 감물 염색으로 만든 조그만 파우치를 말렸다. 전통 감귤밭에서 감귤따기체험, 전통 감물염색체험을 통해 자신만의 작품을 만들어 볼 수 있는 곳이 있다. 제주의 천연 염색 기법을 그대로 활용한 서귀포시 남원읍 위미리에 위치한 천연염색체험장 '이음새' 교육농장이다.",33.275292,126.6686352,064-764-3773,https://api.cdn.visitjeju.net/photomng/imgpath/202010/07/274d18fe-d03a-434d-a837-851bc9e67ea4.jpg
관광지,편백포레스트,서귀포시,남원,제주특별자치도 서귀포시 남원읍 서성로 544-97,"서귀포, 남원, 흑염소, 목장, 농장",편백나무 숲에서 만나는 귀여운 흑염소,33.3176598,126.6598379,064-805-5099,https://api.cdn.visitjeju.net/photomng/imgpath/202306/20/a0b96d1d-04c2-46a9-9479-5ff95d231936.jpg
관광지,그녀들의 글수다,제주시,제주시내,제주특별자치도 제주시 주르레남길 25,"여성,글수다,작가,글쓰기,책, 러닝홀리데이인제주","'엄마의 주례사', '오드리햅번이 하는 말'의 저자 김재용 작가가 제주에서 글쓰기 강좌를 진행한다.",33.4413569,126.4823157,010-3531-2129,https://api.cdn.visitjeju.net/photomng/imgpath/202307/26/67115d19-e42b-40b4-957f-c2744947ad7b.jpg
관광지,"안녕, 상이 친구들",제주시,제주시내,제주특별자치도 제주시 아란7길 47,"반려동물,반려동물동반입장,반려동물공간_기타,애견미용실","안녕, 상이 친구들은 배냇 미용, 대형견, 사나운 친구(긍정&훈육&행동교정) 전문 반려견 미용실이다. ",33.4261379,126.5626925,010-2070-4225,https://api.cdn.visitjeju.net/photomng/imgpath/202212/15/88d9687f-703a-43be-acae-13801299687d.jpg
관광지,자리왓,제주시,애월,제주특별자치도 제주시 애월읍 봉성리 1410 일대,"4.3,문화유적지,자연경관,문화관광,제주4.3,역사유적,어트랙션",토벌대의 초토화작전으로 사라진 마을터.,33.40464,126.32806,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/cf54027f-9577-4a9d-ae40-e5e40172a8f6.jpg
관광지,토종닭유통특구교래삼다수마을,제주시,조천,제주특별자치도 제주시 조천읍 교래리,"체험관광,마을산책,마을관광,어트랙션",삼다수 본사가 있는 삼다수 마을,33.427616,126.66658,064-784-7146,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/7b8904ff-16aa-41b0-8d49-0dfd7ffc4148.jpg
관광지,에코승마아카데미,제주시,조천,제주특별자치도 제주시 조천읍 비자림로 1065,"조천, 교래리, 승마, 이색체험",우거진 숲속에서 즐기는 승마 체험,33.4180631,126.6534847,064-747-2563,https://api.cdn.visitjeju.net/photomng/imgpath/202306/19/a0bc3f37-c8d7-4b32-8b59-0bb59b815d86.jpg
관광지,거친오름,제주시,제주시내,제주특별자치도 제주시 명림로 520 (봉개동),"부모,커플,혼자,친구,맑음,오름,자연경관,도보여행,도보",노루가 뛰어노는 거친오름,33.445274,126.61945,064-728-3611,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/b0f73dec-a1c6-4318-aff8-d8d582efd429.jpg
관광지,상추자마을길,섬 속의 섬,추차도,제주특별자치도 제주시 추자도 추자면,"커플,친구,맑음,걷기,도보여행,도보,마을산책,마을관광",상추자도의 제주올레길18-1코스의 초입,33.947014,126.3201,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/46be4cd6-f179-4d09-972b-8da72f8593e8.gif
관광지,갤러리2 중선농원,제주시,제주시내,제주특별자치도 제주시 영평길 269,"혼자,미술/박물관,사계절,전시,예술,문화,카페,실내관광지,어트랙션",감귤농장을 탈바꿈한 갤러리,33.478135,126.57017,064-755-2112,https://api.cdn.visitjeju.net/photomng/imgpath/201808/07/822d71b2-a356-4432-8837-d9ab579b0d2a.JPG
관광지,영등할망 신화공원,제주시,한림,제주 제주시 한림읍 귀덕11길 19,"테마공원,경관/포토,문화유적지,역사유적,포토스팟,어트랙션,관광지",영등할망신화공원은 귀덕포구에서 해변을 따라 현무암으로 만들어진 좁은 돌길을 따라 약 1km 정도 이어진다. 길을 따라 걸으며 제주 신화를 알아보는 재미도 느껴보자.,null,null,064-728-7614,https://api.cdn.visitjeju.net/photomng/imgpath/202111/26/1c231e85-5113-40b9-bc7f-bd79d7a94e9c.jpg
관광지,가메오름,제주시,애월,제주특별자치도 제주시 애월읍 봉성리 산 125,"오름,걷기/등산,맑음,자연경관,도보여행,도보",낮고 작은 분화구를 가진 가메 오름,33.36623487,126.3571601,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/ddae61fc-1e34-47b2-854d-3b97ffe1b76b.jpg
관광지,뱅듸승마클럽,제주시,조천,제주특별자치도 제주시 조천읍 번영로 1118-33,"조천, 와흘리, 승마, 이색체험",말을 타며 달리는 제주의 푸른 초원,33.4651501,126.6543529,010-2696-7043,https://api.cdn.visitjeju.net/photomng/imgpath/202306/18/49d1dcf9-8eb4-4c43-a3b0-d1ae152e19d3.jpg
관광지,나드 보컬 스튜디오,제주시,제주시내,제주특별자치도 제주시 중앙로 234-1,"노래,레슨,보컬,입시,오디션,취미,가수,러닝홀리데이인제주",직접 부르는 노래로 제주 휴가를 특별하게 보낼 수 있는 나드 보컬 스튜디오,33.4987647,126.5301679,0507-1437-7586,https://api.cdn.visitjeju.net/photomng/imgpath/202307/26/268394ba-f86f-4a9a-b247-ada206647815.jpg
관광지,신천리(용궁올레),서귀포시,표선,제주특별자치도 서귀포시 표선면 신천리,"커플,친구,맑음,경관/포토,휴식/힐링,해변,도보여행,도보,포토스팟",바다속에 일직선의 길다란 골짜기가 형성되어 용궁으로 들어가는 문이라 하여 용궁올레,33.350605,126.85242,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/2a6f7cae-b8eb-4ddc-8ea0-7e38084b2e5f.jpg
관광지,제주아트센터,제주시,제주시내,제주특별자치도 제주시 오남로 231,"공연장,제주시,대극장,공연,뮤지컬,연극,실내관광지,문화관광,어트랙션",2010년 5월에 개관된 제주아트센터는 제주도 최대규모의 객석과 다양한 장르의 공연도 완벽히 지원할 수 있는 장비를 고루 갖춘 전문 공연장이다.,33.4751552,126.5155061,064-728-1509,https://api.cdn.visitjeju.net/photomng/imgpath/202002/14/657329b6-2794-4412-8275-041abc86a3c3.jpg
관광지,삼밭구석 & 동광리4·3희생자위령비,서귀포시,안덕,제주특별자치도 서귀포시 안덕면 동광리 1425 일대,"4.3,문화유적지,문화관광,제주4.3,역사유적,어트랙션",4·3사건 당시 죽은 삼밧구석 주민들의 원혼을 달래기 위해 마을 출신 주민들이 직접 세운 비석,33.311443,126.330444,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/7cf03fab-f939-4c49-ac2d-3df6bf5e5589.jpg
